id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
doc-table-new-department,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.6397,298.93,294.31,6,2,4,0,24,0.25,2,pass,1.0435
doc-changelog-new-version,doc_summary,baseline,0,0.2847,18.5,265.55,1,0,0,0,18,,,pass,1.0
doc-changelog-new-version,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.5139,257.29,224.83,4,1,3,0,17,0.2353,1,pass,0.9444
doc-changelog-new-version,doc_summary,baseline,1,0.2855,18.78,266.04,1,0,0,0,18,,,pass,1.0
doc-changelog-new-version,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.5133,256.0,225.34,4,1,3,0,17,0.2353,1,pass,0.9444
doc-changelog-new-version,doc_summary,baseline,2,0.2853,18.48,266.14,1,0,0,0,18,,,pass,1.0
doc-changelog-new-version,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.5115,255.66,223.66,4,1,3,0,17,0.2353,1,pass,0.9444
doc-changelog-version-bump-message,doc_summary,baseline,0,0.3654,18.51,346.2,1,0,0,0,23,,,pass,1.0
doc-changelog-version-bump-message,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.4406,346.76,68.89,3,2,1,0,26,0.8462,1,pass,2.6
doc-changelog-version-bump-message,doc_summary,baseline,1,0.3682,18.66,348.85,1,0,0,0,23,,,pass,1.0
doc-changelog-version-bump-message,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.4372,345.12,67.47,3,2,1,0,26,0.8462,1,pass,2.6
doc-changelog-version-bump-message,doc_summary,baseline,2,0.3629,18.81,343.46,1,0,0,0,23,,,pass,1.0
doc-changelog-version-bump-message,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.4388,345.68,68.31,3,2,1,0,26,0.8462,1,pass,2.6
doc-status-flip-blocked,doc_summary,baseline,0,0.4745,18.66,455.23,1,0,0,0,30,,,pass,1.0
doc-status-flip-blocked,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.7701,223.66,514.28,4,1,3,0,29,0.2069,3,pass,0.7632
doc-status-flip-blocked,doc_summary,baseline,1,0.4775,18.52,458.3,1,0,0,0,30,,,pass,1.0
doc-status-flip-blocked,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.769,221.88,515.48,4,1,3,0,29,0.2069,3,pass,0.7632
doc-status-flip-blocked,doc_summary,baseline,2,0.4726,18.49,453.4,1,0,0,0,30,,,pass,1.0
doc-status-flip-blocked,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.7712,220.89,518.53,4,1,3,0,29,0.2069,3,pass,0.7632
doc-status-flip-owner,doc_summary,baseline,0,0.236,18.5,216.9,1,0,0,0,15,,,pass,1.0
doc-status-flip-owner,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.2934,201.42,68.33,3,2,1,0,16,0.75,1,pass,1.6
doc-status-flip-owner,doc_summary,baseline,1,0.238,18.68,218.72,1,0,0,0,15,,,pass,1.0
doc-status-flip-owner,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.2934,201.59,68.42,3,2,1,0,16,0.75,1,pass,1.6
doc-status-flip-owner,doc_summary,baseline,2,0.2394,18.53,220.19,1,0,0,0,15,,,pass,1.0
doc-status-flip-owner,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.2919,199.65,68.91,3,2,1,0,16,0.75,1,pass,1.6
doc-number-correction-headcount,doc_summary,baseline,0,0.4116,19.02,391.85,1,0,0,0,26,,,pass,1.0
doc-number-correction-headcount,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.4201,328.09,67.44,3,2,1,0,25,0.8,1,pass,2.2727
doc-number-correction-headcount,doc_summary,baseline,1,0.411,18.5,391.87,1,0,0,0,26,,,pass,1.0
doc-number-correction-headcount,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.4209,326.27,69.53,3,2,1,0,25,0.8,1,pass,2.2727
doc-number-correction-headcount,doc_summary,baseline,2,0.4186,19.43,398.55,1,0,0,0,26,,,pass,1.0
doc-number-correction-headcount,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.4255,330.0,70.59,3,2,1,0,25,0.8,1,pass,2.2727
doc-date-correction-deadline,doc_summary,baseline,0,0.37,19.09,350.27,1,0,0,0,23,,,pass,1.0
doc-date-correction-deadline,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.5005,241.39,227.53,4,2,2,0,22,0.6818,1,pass,1.6923
doc-date-correction-deadline,doc_summary,baseline,1,0.3719,18.9,352.33,1,0,0,0,23,,,pass,1.0
doc-date-correction-deadline,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.4971,240.28,225.82,4,2,2,0,22,0.6818,1,pass,1.6923
doc-date-correction-deadline,doc_summary,baseline,2,0.3696,18.73,350.28,1,0,0,0,23,,,pass,1.0
doc-date-correction-deadline,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.502,242.49,227.91,4,2,2,0,22,0.6818,1,pass,1.6923
doc-section-deletion-caveat,doc_summary,baseline,0,0.354,18.57,334.81,1,0,0,0,22,,,pass,1.0
doc-section-deletion-caveat,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.7331,345.26,340.52,6,2,4,0,21,0.0476,3,pass,0.84
doc-section-deletion-caveat,doc_summary,baseline,1,0.3533,18.47,334.22,1,0,0,0,22,,,pass,1.0
doc-section-deletion-caveat,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.7322,344.41,340.75,6,2,4,0,21,0.0476,3,pass,0.84
doc-section-deletion-caveat,doc_summary,baseline,2,0.3542,19.0,334.51,1,0,0,0,22,,,pass,1.0
doc-section-deletion-caveat,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.7343,344.59,341.91,6,2,4,0,21,0.0476,3,pass,0.84
doc-section-deletion-example,doc_summary,baseline,0,0.3523,18.7,332.95,1,0,0,0,22,,,pass,1.0
doc-section-deletion-example,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.708,415.26,252.02,5,2,3,0,21,0.3333,3,pass,0.875
doc-section-deletion-example,doc_summary,baseline,1,0.3556,18.99,335.82,1,0,0,0,22,,,pass,1.0
doc-section-deletion-example,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.7048,412.48,252.13,5,2,3,0,21,0.3333,3,pass,0.875
doc-section-deletion-example,doc_summary,baseline,2,0.3548,18.68,335.46,1,0,0,0,22,,,pass,1.0
doc-section-deletion-example,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.7106,417.46,252.65,5,2,3,0,21,0.3333,3,pass,0.875
doc-typo-fix,doc_summary,baseline,0,1.1832,19.18,1163.32,1,0,0,0,74,,,pass,1.0
doc-typo-fix,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.9999,901.46,68.89,3,2,1,0,72,0.9444,1,pass,5.5385
doc-typo-fix,doc_summary,baseline,1,1.18,19.04,1160.24,1,0,0,0,74,,,pass,1.0
doc-typo-fix,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.9875,889.5,68.82,3,2,1,0,72,0.9444,1,pass,5.5385
doc-typo-fix,doc_summary,baseline,2,1.1808,19.27,1160.72,1,0,0,0,74,,,pass,1.0
doc-typo-fix,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.9876,889.26,69.02,3,2,1,0,72,0.9444,1,pass,5.5385
doc-append-sentence,doc_summary,baseline,0,1.5,19.03,1480.28,1,0,0,0,94,,,pass,1.0
doc-append-sentence,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.3137,577.46,679.2,7,2,5,0,88,0.6705,2,pass,2.0952
doc-append-sentence,doc_summary,baseline,1,1.4991,19.38,1478.9,1,0,0,0,94,,,pass,1.0
